feature_1,feature_2,feature_3,feature_4,feature_5
23.4,156.2,0.45,78.9,12.3
25.1,162.8,0.52,82.1,13.7
22.8,151.4,0.48,76.3,11.9
24.5,159.7,0.5,80.2,12.8
23.9,157.3,0.46,79.5,12.5
26.2,165.1,0.54,84.3,14.2
22.1,148.9,0.43,75.1,11.4
24.8,160.5,0.51,81.8,13.2
23.6,155.8,0.47,78.4,12.1
25.4,163.2,0.53,83.6,13.9
22.5,150.7,0.44,76.8,11.7
24.2,158.1,0.49,79.9,12.6
23.1,154.5,0.46,77.6,12
25.8,164.4,0.54,84.9,14.5
22.9,152.2,0.47,77.2,12.2
24.6,159.9,0.5,80.7,13
23.7,156.6,0.48,79.1,12.4
25.2,162.3,0.52,82.5,13.6
22.4,149.8,0.44,75.9,11.6
24.9,161,0.51,81.3,13.3
